city,naics,mean_eci_zscore,clean_city_name,country
cordoba,Health,1.907527194384981,Cordoba,AR
cordoba,Hospitality,1.7833522415417131,Cordoba,AR
buenos_aires,Real Estate,1.775980420599686,Buenos Aires,AR
rosario,Financial,1.754588201329509,Rosario,AR
buenos_aires,Financial,1.7131905117971873,Buenos Aires,AR
buenos_aires,Agriculture,1.7103137321728283,Buenos Aires,AR
buenos_aires,Information,1.691725931695048,Buenos Aires,AR
buenos_aires,Corporate,1.679794449767664,Buenos Aires,AR
buenos_aires,Professional Service,1.6403257202406674,Buenos Aires,AR
rosario,Real Estate,1.612982612415624,Rosario,AR
la_plata,Real Estate,1.5939134904956207,La Plata,AR
rosario,Health,1.5602899118121598,Rosario,AR
buenos_aires,Hospitality,1.53507014535319,Buenos Aires,AR
rosario,Information,1.5128806534407684,Rosario,AR
cordoba,Information,1.5051379407068814,Cordoba,AR
rosario,Hospitality,1.5012485642093096,Rosario,AR
cordoba,Art/Culture,1.499766579266879,Cordoba,AR
rosario,Public Administration,1.4948063940778022,Rosario,AR
rosario,Corporate,1.4725249818955424,Rosario,AR
la_plata,Financial,1.4392619882491386,La Plata,AR
buenos_aires,Public Administration,1.430151549958161,Buenos Aires,AR
buenos_aires,Health,1.4288193587439586,Buenos Aires,AR
la_plata,Information,1.354270880461233,La Plata,AR
la_plata,Hospitality,1.347843505237836,La Plata,AR
la_plata,Corporate,1.3367301212814993,La Plata,AR
cordoba,Business Support,1.3287511707989108,Cordoba,AR
buenos_aires,Business Support,1.3225954015680477,Buenos Aires,AR
buenos_aires,Art/Culture,1.3158278755954884,Buenos Aires,AR
rosario,Art/Culture,1.3111189879225753,Rosario,AR
rosario,Professional Service,1.2805237995839738,Rosario,AR
la_plata,Health,1.2764893145606595,La Plata,AR
rosario,Business Support,1.2282921248329317,Rosario,AR
cordoba,Retail,1.2234426823619224,Cordoba,AR
la_plata,Public Administration,1.1984352034919643,La Plata,AR
cordoba,Agriculture,1.103300253001589,Cordoba,AR
cordoba,Wholesale,1.1004418246299814,Cordoba,AR
cordoba,Education,1.0931553132038705,Cordoba,AR
cordoba,Construction,1.0890910947013794,Cordoba,AR
buenos_aires,Construction,1.0839177299034155,Buenos Aires,AR
buenos_aires,Wholesale,1.067699672294517,Buenos Aires,AR
rosario,Agriculture,1.0520550681167329,Rosario,AR
buenos_aires,Energy,1.0369881530824083,Buenos Aires,AR
la_plata,Education,1.0258021824269452,La Plata,AR
buenos_aires,Retail,0.9974422156012442,Buenos Aires,AR
rosario,Education,0.9920059624705578,Rosario,AR
rosario,Retail,0.9849839028344594,Rosario,AR
san_miguel_de_tucuman,Public Administration,0.9843169878803276,San Miguel De Tucuman,AR
buenos_aires,Education,0.9771587237242356,Buenos Aires,AR
san_miguel_de_tucuman,Financial,0.9438168688197964,San Miguel De Tucuman,AR
rosario,Wholesale,0.9140890068355172,Rosario,AR
la_plata,Retail,0.9024508334324136,La Plata,AR
la_plata,Business Support,0.8993803381463551,La Plata,AR
mendoza,Information,0.8867686642914316,Mendoza,AR
san_miguel_de_tucuman,Hospitality,0.878625561191628,San Miguel De Tucuman,AR
mendoza,Professional Service,0.8729635861566353,Mendoza,AR
san_miguel_de_tucuman,Health,0.8689492284417316,San Miguel De Tucuman,AR
la_plata,Agriculture,0.866457253758067,La Plata,AR
la_plata,Art/Culture,0.8613075664604549,La Plata,AR
san_miguel_de_tucuman,Corporate,0.8548823617138709,San Miguel De Tucuman,AR
la_plata,Wholesale,0.8542824378580937,La Plata,AR
mendoza,Real Estate,0.839960834152311,Mendoza,AR
mendoza,Health,0.8378331891084231,Mendoza,AR
mendoza,Financial,0.8054334727646335,Mendoza,AR
mendoza,Education,0.7963659495113362,Mendoza,AR
buenos_aires,Transportation,0.7962829640091544,Buenos Aires,AR
la_plata,Professional Service,0.7948385326446655,La Plata,AR
san_miguel_de_tucuman,Information,0.7914973669489174,San Miguel De Tucuman,AR
mendoza,Hospitality,0.7782629834142013,Mendoza,AR
san_miguel_de_tucuman,Professional Service,0.7768023209753322,San Miguel De Tucuman,AR
rosario,Construction,0.7732358519572275,Rosario,AR
san_miguel_de_tucuman,Real Estate,0.7697193978136686,San Miguel De Tucuman,AR
san_miguel_de_tucuman,Retail,0.7583201446337289,San Miguel De Tucuman,AR
mendoza,Art/Culture,0.7470107289268778,Mendoza,AR
cordoba,Transportation,0.7178586431831305,Cordoba,AR
san_miguel_de_tucuman,Business Support,0.6765148180349957,San Miguel De Tucuman,AR
san_miguel_de_tucuman,Education,0.6719267876866524,San Miguel De Tucuman,AR
mendoza,Energy,0.6676922025446288,Mendoza,AR
mendoza,Corporate,0.6666910638410126,Mendoza,AR
san_miguel_de_tucuman,Art/Culture,0.6502483458205971,San Miguel De Tucuman,AR
mendoza,Public Administration,0.6412133831227791,Mendoza,AR
mendoza,Business Support,0.6377515062794505,Mendoza,AR
san_miguel_de_tucuman,Wholesale,0.6269127263989804,San Miguel De Tucuman,AR
san_miguel_de_tucuman,Energy,0.6134250732313798,San Miguel De Tucuman,AR
mendoza,Construction,0.6105964142184332,Mendoza,AR
buenos_aires,Manufacturing,0.5834415237303762,Buenos Aires,AR
la_plata,Construction,0.5587288045217069,La Plata,AR
san_miguel_de_tucuman,Agriculture,0.5560114377105815,San Miguel De Tucuman,AR
cordoba,Energy,0.5357370057131099,Cordoba,AR
san_miguel_de_tucuman,Construction,0.5355509223781982,San Miguel De Tucuman,AR
mendoza,Wholesale,0.53232567794523,Mendoza,AR
la_plata,Energy,0.5322268321989444,La Plata,AR
mendoza,Retail,0.5032893403097516,Mendoza,AR
san_miguel_de_tucuman,Transportation,0.5018280386723962,San Miguel De Tucuman,AR
cordoba,Manufacturing,0.4929734941540847,Cordoba,AR
rosario,Transportation,0.4903363686217505,Rosario,AR
la_plata,Manufacturing,0.4761154141060734,La Plata,AR
mendoza,Agriculture,0.4455298159658948,Mendoza,AR
la_plata,Transportation,0.4167736063945393,La Plata,AR
mendoza,Manufacturing,0.3346303015025824,Mendoza,AR
mendoza,Transportation,0.3050478684663862,Mendoza,AR
san_miguel_de_tucuman,Manufacturing,0.2605385200563962,San Miguel De Tucuman,AR
rosario,Manufacturing,0.1926661512360156,Rosario,AR
rosario,Energy,-0.2173739905934016,Rosario,AR
